score,title,rating,reviews,neg_total,neg_comm,neg_wait,neg_forgot,address,phone,website,telegram,whatsapp,yandex_url,score_details
30,Сервис BMW Пик Ремонт и Запчасти BMW,4.699999809265137,532,50,4,5,0,"Кушелевская дорога, 20",+7 (931) 001-85-53,https://www.bmwpikspb.ru/?utm_source=ya-karti-remont-bmw-spb-k20,https://t.me/PikInfo_kassa,https://wa.me/79218068553?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/21573609103/,TG+WA +2 | rating 4.7 +3 | site +1 | comm/wait 9x +18 | price/noinfo 6x +6
29,Car Service,4.900000095367432,200,38,2,6,1,"село Новлянское, 8А, стр. 2",+7 (901) 752-69-93,https://vsk.car-service24.ru/?yclid=17460503716048666623&utm_content=15790654315&utm_source=geoadv_maps,https://t.me/+79017526993,https://wa.me/79017526993?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B4305910+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/71301728780/,TG+WA +2 | site +1 | revs 200 +2 | comm/wait 8x +16 | forgot 1x +2 | price/noinfo 6x +6
29,СТО Ремзона,4.699999809265137,575,100,1,7,1,"ул. Тельмана, 27",+7 (812) 490-67-78 (Мастер),http://auto-nevsky.ru/,https://t.me/+79214410205,https://wa.me/79214410205?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1782496157/,TG+WA +2 | rating 4.7 +3 | site +1 | comm/wait 8x +16 | forgot 1x +2 | price/noinfo 5x +5
29,Кореана,4.699999809265137,528,100,2,4,3,"просп. Науки, 50, корп. 1",+7 (812) 770-23-27,https://koreanaparts.ru/?utm_campaign=service&utm_medium=organic&utm_source=yandex_map,https://t.me/+R2v1MH_J7DU4N2Yy,https://wa.me/79312902063?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1459467838/,TG+WA +2 | rating 4.7 +3 | site +1 | comm/wait 6x +12 | forgot 3x +6 | price/noinfo 5x +5
28,СТО № 1,4.400000095367432,192,50,2,7,0,"ул. Лермонтова, 9, стр. 1, Рязань",+7 (965) 714-78-83; +7 (965) 714-78-85,http://sto1-rzn.ru/,https://t.me/sto1rzn,,https://yandex.ru/maps/org/60964875184/,rating 4.4 +3 | site +1 | revs 192 +2 | comm/wait 9x +18 | price/noinfo 4x +4
28,Формула Автосервиса,4.800000190734863,526,50,3,3,3,"Санкт-Петербург, Большая Пороховская ул., 61Ж",+7 (812) 237-34-46 (Автосервис),https://f-autoservice.ru/#автосервис,https://t.me/fautoservice,https://wa.me/78124949009?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1129471004/,TG+WA +2 | site +1 | comm/wait 6x +12 | forgot 3x +6 | price/noinfo 7x +7
28,Стайер,4.300000190734863,226,50,1,8,0,"Лиговский просп., 246Б",+7 (812) 240-47-47 (Многоканальный); +7 (812) 240-47-45 (автосервис); +7 (812) 240-47-46 (Кузовной цех),https://www.stostayer.ru/,https://t.me/stayersto,,https://yandex.ru/maps/org/108360412062/,rating 4.3 +3 | site +1 | revs 226 +2 | comm/wait 9x +18 | price/noinfo 4x +4
26,"Автосервис, автотехцентр Плесецкая",4.699999809265137,262,47,1,4,0,"Санкт-Петербург, Плесецкая ул., 10",+7 (931) 598-69-69; +7 (812) 998-69-69,https://avtoservis-plesetskaja.clients.site/,https://t.me/+79315986969,https://wa.me/+79315986969?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/192876729892/,TG+WA +2 | rating 4.7 +3 | site +1 | revs 262 +2 | comm/wait 5x +10 | price/noinfo 8x +8
26,ЕвроАвто,4.400000095367432,747,50,7,2,0,"Санкт-Петербург, Левашовский просп., 15",+7 (812) 389-20-59; +7 (812) 703-15-15,https://euroauto.ru/,https://t.me/ExpertMax_Bot,,https://yandex.ru/maps/org/1569354336/,rating 4.4 +3 | site +1 | comm/wait 9x +18 | price/noinfo 4x +4
26,Франсавто,5,956,50,1,5,3,"Предпортовая ул., 6",+7 (812) 986-30-09,https://fransauto.ru/,https://t.me/stofransauto,https://wa.me/79616114237?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1735511998/,TG+WA +2 | site +1 | comm/wait 6x +12 | forgot 3x +6 | price/noinfo 5x +5
25,AutoZion,4.599999904632568,310,50,4,2,1,"Магистральная ул., 10Б, район Приокский, Рязань",+7 (4912) 30-13-97 (Общий); +7 (4912) 47-06-34 (Общий); +7 (4912) 30-14-69 (Land Rover); +7 (4912) 30-13-38 (Land Rover); +7 (4912) 46-03-23 (Mercedes); +7 (4912) 46-03-26 (Mercedes); +7 (4912) 30-14-94 (BMW); +7 (4912) 30-12-17 (BMW),https://autozion.ru/,https://t.me/autozion_bot,,https://yandex.ru/maps/org/26479789421/,rating 4.6 +3 | site +1 | revs 310 +2 | comm/wait 6x +12 | forgot 1x +2 | price/noinfo 5x +5
25,RenewAuto.ru,4.900000095367432,201,34,3,4,0,"ул. Новосёлов, 47",+7 (812) 407-23-10; +7 (981) 764-12-96,https://renewauto.ru/,https://t.me/renewauto,https://wa.me/79817641296?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/228562491880/,TG+WA +2 | site +1 | revs 201 +2 | comm/wait 7x +14 | price/noinfo 6x +6
25,Z24 Bosch service,4.699999809265137,423,50,3,2,0,"Выборгское ш., 212Б",+7 (901) 979-24-24 (Запись на ремонт); +7 (812) 244-40-45 (Запись на ремонт),https://z24.ru/bosch-serv/#addbosch,https://t.me/+79019792424,https://wa.me/+79019792424?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/39838837307/,TG+WA +2 | rating 4.7 +3 | site +1 | revs 423 +2 | comm/wait 5x +10 | price/noinfo 7x +7
25,Кореана,4.900000095367432,355,50,2,5,1,"просп. Народного Ополчения, 201М",+7 (812) 502-72-85,https://koreanaparts.ru/?utm_campaign=service&utm_medium=organic&utm_source=yandex_map,https://t.me/+R2v1MH_J7DU4N2Yy,https://wa.me/79312902063?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/154527196739/,TG+WA +2 | site +1 | revs 355 +2 | comm/wait 7x +14 | forgot 1x +2 | price/noinfo 4x +4
25,Кореана,4.699999809265137,548,50,3,6,0,"Московское ш., 25, корп. 1Д",+7 (812) 443-84-66,https://koreanaparts.ru/?utm_campaign=service&utm_medium=organic&utm_source=yandex_map,https://t.me/+R2v1MH_J7DU4N2Yy,https://wa.me/79312902063?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1104449973/,TG+WA +2 | rating 4.7 +3 | site +1 | comm/wait 9x +18 | price/noinfo 1x +1
23,Рязань Сервис,4.800000190734863,244,38,1,3,4,"Затинная ул., 32А, Рязань",+7 (960) 570-36-35; +7 (4912) 99-62-63; +7 (961) 130-62-63,https://автосервисрязань.рф/,https://t.me/+79605703635,,https://yandex.ru/maps/org/1584172182/,site +1 | revs 244 +2 | comm/wait 4x +8 | forgot 4x +8 | price/noinfo 4x +4
23,WinAuto-Express,5,961,50,2,6,1,"Лесной просп., 78",+7 (812) 425-38-40,https://winauto-express.ru/,https://t.me/winavto,https://wa.me/79967860759?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1066362571/,TG+WA +2 | site +1 | comm/wait 8x +16 | forgot 1x +2 | price/noinfo 2x +2
23,ЕвроАвто,4.400000095367432,902,50,2,6,0,"пер. Декабристов, 20",+7 (812) 389-20-59,https://euroauto.ru/,https://t.me/ExpertMax_Bot,,https://yandex.ru/maps/org/134864119960/,rating 4.4 +3 | site +1 | comm/wait 8x +16 | price/noinfo 3x +3
23,Кореана,4.599999904632568,500,50,2,3,1,"ул. Симонова, 15",+7 (812) 502-72-63,https://koreanaparts.ru/?utm_campaign=service&utm_medium=organic&utm_source=yandex_map,https://t.me/+R2v1MH_J7DU4N2Yy,https://wa.me/79312902063?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/219555246610/,TG+WA +2 | rating 4.6 +3 | site +1 | revs 500 +2 | comm/wait 5x +10 | forgot 1x +2 | price/noinfo 3x +3
22,Питер,4.699999809265137,269,55,2,3,1,"ул. Потапова, 2Б",+7 (981) 335-45-97 (Автосервис),https://avtoservispiter.ru/,https://t.me/avtoservispiter,,https://yandex.ru/maps/org/38711609772/,rating 4.7 +3 | site +1 | revs 269 +2 | comm/wait 5x +10 | forgot 1x +2 | price/noinfo 4x +4
